,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
0,Air Asia,I5-764,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
1,IndiGo,6E-5001,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
2,IndiGo,6E-6202,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
3,IndiGo,6E-2046,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
4,IndiGo,6E-5041,"Sun, Feb 13",New Delhi,Mumbai,2h 10m,Non Stop,"2,410"
5,IndiGo,6E-549,"Sun, Feb 13",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
6,Air Asia,I5-482,"Sun, Feb 13",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
7,IndiGo,6E-6722,"Sun, Feb 13",New Delhi,Mumbai,2h 15m,Non Stop,"2,410"
8,IndiGo,6E-6278,"Sun, Feb 13",New Delhi,Mumbai,2h 20m,Non Stop,"2,410"
9,IndiGo,6E-5328,"Sun, Feb 13",New Delhi,Mumbai,2h 30m,Non Stop,"2,410"
10,IndiGo,6E-2331/905,"Sun, Mar 6",New Delhi,Goa,7h 10m,1 Stop,"3,288"
11,IndiGo,6E-967/6433,"Sun, Mar 6",New Delhi,Goa,5h 50m,1 Stop,"3,626"
12,IndiGo,6E-2247/793,"Sun, Mar 6",New Delhi,Goa,6h 25m,1 Stop,"3,626"
13,IndiGo,6E-2005/793,"Sun, Mar 6",New Delhi,Goa,7h 45m,1 Stop,"3,626"
14,IndiGo,6E-6205/992,"Sun, Mar 6",New Delhi,Goa,7h 55m,1 Stop,"3,626"
15,Go First,G8-7555/571,"Sun, Mar 6",New Delhi,Goa,9h 00m,1 Stop,"3,882"
16,Go First,G8-7535/384,"Sun, Mar 6",New Delhi,Goa,6h 25m,1 Stop,"3,894"
17,Go First,G8-7534/384,"Sun, Mar 6",New Delhi,Goa,7h 55m,1 Stop,"3,894"
18,Go First,G8-392/384,"Sun, Mar 6",New Delhi,Goa,8h 25m,1 Stop,"3,894"
19,Go First,G8-336/384,"Sun, Mar 6",New Delhi,Goa,9h 05m,1 Stop,"3,894"
20,IndiGo,6E-5012,"Wed, Apr 13",New Delhi,Chennai,2h 55m,Non Stop,"1,999"
21,Vistara,UK-833,"Wed, Apr 13",New Delhi,Chennai,2h 45m,Non Stop,"2,049"
22,IndiGo,6E-6231/756,"Wed, Apr 13",New Delhi,Chennai,5h 35m,1 Stop,"2,050"
23,IndiGo,6E-6205/102,"Wed, Apr 13",New Delhi,Chennai,5h 55m,1 Stop,"2,050"
24,IndiGo,6E-552/514,"Wed, Apr 13",New Delhi,Chennai,7h 15m,1 Stop,"2,050"
25,IndiGo,6E-6205/6174,"Wed, Apr 13",New Delhi,Chennai,7h 20m,1 Stop,"2,050"
26,IndiGo,6E-2331/514,"Wed, Apr 13",New Delhi,Chennai,8h 30m,1 Stop,"2,050"
27,IndiGo,6E-6205/6216,"Wed, Apr 13",New Delhi,Chennai,9h 05m,1 Stop,"2,050"
28,IndiGo,6E-552/668,"Wed, Apr 13",New Delhi,Chennai,9h 35m,1 Stop,"2,050"
29,IndiGo,6E-2331/668,"Wed, Apr 13",New Delhi,Chennai,10h 50m,1 Stop,"2,050"
30,IndiGo,6E-2147/413,"Sun, Mar 20",New Delhi,Bangalore,11h 00m,1 Stop,"2,810"
31,IndiGo,6E-2331/827,"Sun, Mar 20",New Delhi,Bangalore,6h 35m,1 Stop,"2,863"
32,IndiGo,6E-221/681,"Sun, Mar 20",New Delhi,Bangalore,5h 15m,1 Stop,"3,091"
33,IndiGo,6E-2769/302,"Sun, Mar 20",New Delhi,Bangalore,6h 15m,1 Stop,"3,091"
34,IndiGo,6E-2753/103,"Sun, Mar 20",New Delhi,Bangalore,6h 30m,1 Stop,"3,091"
35,IndiGo,6E-2753/681,"Sun, Mar 20",New Delhi,Bangalore,9h 10m,1 Stop,"3,091"
36,IndiGo,6E-2471/302,"Sun, Mar 20",New Delhi,Bangalore,10h 50m,1 Stop,"3,091"
37,Vistara,UK-811,"Sun, Mar 20",New Delhi,Bangalore,2h 45m,Non Stop,"3,169"
38,Vistara,UK-815,"Sun, Mar 20",New Delhi,Bangalore,2h 45m,Non Stop,"3,169"
